Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.02     0.00    51202     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_map(int**, unsigned long)
  0.00      0.02     0.00    51202     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_initialize_map(unsigned long)
  0.00      0.02     0.00    51202     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  0.00      0.02     0.00    51202     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::~_Deque_base()
  0.00      0.02     0.00    51202     0.00     0.00  std::__new_allocator<int*>::deallocate(int**, unsigned long)
  0.00      0.02     0.00    51202     0.00     0.00  std::__new_allocator<int*>::allocate(unsigned long, void const*)
  0.00      0.02     0.00    51202     0.00     0.00  std::allocator_traits<std::allocator<int*> >::deallocate(std::allocator<int*>&, int**, unsigned long)
  0.00      0.02     0.00    51202     0.00     0.00  std::allocator_traits<std::allocator<int*> >::allocate(std::allocator<int*>&, unsigned long)
  0.00      0.02     0.00    51202     0.00     0.00  std::deque<int, std::allocator<int> >::_M_destroy_data(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::allocator<int> const&)
  0.00      0.02     0.00    51202     0.00     0.00  std::deque<int, std::allocator<int> >::begin()
  0.00      0.02     0.00    51202     0.00   195.30  std::deque<int, std::allocator<int> >::deque()
  0.00      0.02     0.00    51202     0.00     0.00  std::deque<int, std::allocator<int> >::~deque()
  0.00      0.02     0.00    51202     0.00   195.30  std::stack<int, std::deque<int, std::allocator<int> > >::stack<std::deque<int, std::allocator<int> >, void>()
  0.00      0.02     0.00    51202     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::~stack()
  0.00      0.02     0.00    30726     0.00     0.00  FancyOutputStream::flush_bitwise()
  0.00      0.02     0.00     1219     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::__normal_iterator(HCNode** const&)
  0.00      0.02     0.00     1146     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::operator*() const
  0.00      0.02     0.00      924     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::operator+(long) const
  0.00      0.02     0.00      643     0.00     0.00  std::remove_reference<HCNode*&>::type&& std::move<HCNode*&>(HCNode*&)
  0.00      0.02     0.00      360     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::base() const
  0.00      0.02     0.00      286     0.00     0.00  HCNode::operator<(HCNode const&)
  0.00      0.02     0.00      286     0.00     0.00  HCNodePtrComp::operator()(HCNode*&, HCNode*&) const
  0.00      0.02     0.00      285     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00      0.02     0.00      279     0.00     0.00  std::remove_reference<HCNodePtrComp&>::type&& std::move<HCNodePtrComp&>(HCNodePtrComp&)
  0.00      0.02     0.00      257     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.02     0.00      256     0.00     0.00  FancyOutputStream::write_int(int const&)
  0.00      0.02     0.00      174     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::difference_type __gnu_cxx::operator-<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > > const&, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > > const&)
  0.00      0.02     0.00      154     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp>::operator()<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNode*>(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNode*&)
  0.00      0.02     0.00      132     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>::operator()<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > > >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >)
  0.00      0.02     0.00      120     0.00     0.00  HCNode* const& std::forward<HCNode* const&>(std::remove_reference<HCNode* const&>::type&)
  0.00      0.02     0.00      119     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::end()
  0.00      0.02     0.00      119     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::begin()
  0.00      0.02     0.00      112     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, long, HCNode*, __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp> >(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, long, long, HCNode*, __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp>&)
  0.00      0.02     0.00       57     0.00     0.00  HCNode::HCNode(int, unsigned char)
  0.00      0.02     0.00       57     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode* const*, std::vector<HCNode*, std::allocator<HCNode*> > >::__normal_iterator(HCNode* const* const&)
  0.00      0.02     0.00       57     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp>::_Iter_comp_val(HCNodePtrComp)
  0.00      0.02     0.00       57     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode* const*, std::vector<HCNode*, std::allocator<HCNode*> > >::operator*() const
  0.00      0.02     0.00       57     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::operator-(long) const
  0.00      0.02     0.00       57     0.00     0.00  std::priority_queue<HCNode*, std::vector<HCNode*, std::allocator<HCNode*> >, HCNodePtrComp>::top() const
  0.00      0.02     0.00       57     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::begin() const
  0.00      0.02     0.00       57     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::front() const
  0.00      0.02     0.00       57     0.00     0.00  std::priority_queue<HCNode*, std::vector<HCNode*, std::allocator<HCNode*> >, HCNodePtrComp>::push(HCNode* const&)
  0.00      0.02     0.00       57     0.00     0.00  void std::__new_allocator<HCNode*>::construct<HCNode*, HCNode* const&>(HCNode**, HCNode* const&)
  0.00      0.02     0.00       57     0.00     0.00  void std::allocator_traits<std::allocator<HCNode*> >::construct<HCNode*, HCNode* const&>(std::allocator<HCNode*>&, HCNode**, HCNode* const&)
  0.00      0.02     0.00       57     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::push_back(HCNode* const&)
  0.00      0.02     0.00       57     0.00     0.00  void std::push_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNodePtrComp>(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNodePtrComp)
  0.00      0.02     0.00       56     0.00     0.00  std::priority_queue<HCNode*, std::vector<HCNode*, std::allocator<HCNode*> >, HCNodePtrComp>::pop()
  0.00      0.02     0.00       56     0.00     0.00  void std::__new_allocator<HCNode*>::destroy<HCNode*>(HCNode**)
  0.00      0.02     0.00       56     0.00     0.00  void std::allocator_traits<std::allocator<HCNode*> >::destroy<HCNode*>(std::allocator<HCNode*>&, HCNode**)
  0.00      0.02     0.00       56     0.00     0.00  std::vector<HCNode*, std::allocator<HCNode*> >::pop_back()
  0.00      0.02     0.00       56     0.00     0.00  void std::pop_heap<__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNodePtrComp>(__gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >, HCNodePtrComp)
  0.00      0.02     0.00       55     0.00     0.00  __gnu_cxx::__normal_iterator<HCNode**, std::vector<HCNode*, std::allocator<HCNode*> > >::operator--()
  0.00      0.02     0.00       55     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<HCNodePtrComp>::_Iter_comp_val(__gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>&&)
  0.00      0.02     0.00       55     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<HCNodePtrComp>::_Iter_comp_iter(HCNodePtrComp)
